NOME,CARGO,PARTIDO,ESTADO,CRIME
DÁRIO BERGER,SENADOR,PMDB,SC,CRIMES DA LEI DE LICITAÇÕES
DÁRIO BERGER,SENADOR,PMDB,SC,CRIMES DE RESPONSABILIDADE
DÁRIO BERGER,SENADOR,PMDB,SC,CRIMES DE RESPONSABILIDADE
IVO CASSOL,SENADOR,PP,RO,CRIMES DA LEI DE LICITAÇÕES
IVO CASSOL,SENADOR,PP,RO,FORMAÇÃO DE QUADRILHA
IVO CASSOL,SENADOR,PP,RO,CRIMES ELEITORAIS
IVO CASSOL,SENADOR,PP,RO,CALÚNIA
SÉRGIO PETECÃO,SENADOR,PSD,AC,PECULATO
SÉRGIO PETECÃO,SENADOR,PSD,AC,CRIMES ELEITORAIS
SÉRGIO PETECÃO,SENADOR,PSD,AC,PECULATO
SÉRGIO PETECÃO,SENADOR,PSD,AC,CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL
SÉRGIO PETECÃO,SENADOR,PSD,AC,CRIMES ELEITORAIS
ADALBERTO CAVALCANTI,DEPUTADO,PMB,PE,CRIMES ELEITORAIS
ADALBERTO CAVALCANTI,DEPUTADO,PMB,PE,EMPREGO IRREGULAR DE VERBAS PÚBLICAS
ADILTON SACHETTI,DEPUTADO,PSB,MT,CRIMES DE RESPONSABILIDADE
ALBERTO FRAGA,DEPUTADO,DEM,DF,CONCUSSÃO (EXIGIR VANTAGEM INDEVIDA)
ALBERTO FRAGA,DEPUTADO,DEM,DF,CRIMES CONTRA O SISTEMA NACIONAL DE ARMAS
ALBERTO FRAGA,DEPUTADO,DEM,DF,PECULATO
ALBERTO FRAGA,DEPUTADO,DEM,DF,FALSIDADE IDEOLÓGICA
ALBERTO FRAGA,DEPUTADO,DEM,DF,CONCUSSÃO (EXIGIR VANTAGEM INDEVIDA)
ALFREDO KAEFER,DEPUTADO,PSL,PR,CRIMES CONTRA O SISTEMA FINANCEIRO
ALFREDO KAEFER,DEPUTADO,PSL,PR,FORMAÇÃO DE QUADRILHA
ALFREDO NASCIMENTO,DEPUTADO,PR,AM,FALSIDADE IDEOLÓGICA
ANDRÉ MOURA,DEPUTADO,PSC,SE,CRIMES DE RESPONSABILIDADE
ANDRÉ MOURA,DEPUTADO,PSC,SE,CRIMES DE RESPONSABILIDADE
ANDRÉ MOURA,DEPUTADO,PSC,SE,IMPROBIDADE ADMINISTRATIVA
BENITO GAMA,DEPUTADO,PTB,BA,CRIMES ELEITORAIS
BENJAMIN MARANHÃO,DEPUTADO,SD,PB,CRIMES DA LEI DE LICITAÇÕES
BENJAMIN MARANHÃO,DEPUTADO,SD,PB,FORMAÇÃO DE QUADRILHA
BETO MANSUR,DEPUTADO,PRB,SP,TRABALHO ESCRAVO
BETO MANSUR,DEPUTADO,PRB,SP,CRIMES DE RESPONSABILIDADE
CABO DACIOLO,DEPUTADO,AVANTE,RJ,PARTICIPAÇÃO DE MOVIMENTO GREVISTA DOS PMS
CARLOS BEZERRA,DEPUTADO,PMDB,MT,PECULATO
CARLOS BEZERRA,DEPUTADO,PMDB,MT,VIOLAÇÃO DA LEI DE LICITAÇÕES
CARLOS BEZERRA,DEPUTADO,PMDB,MT,CRIMES DA LEI DE LICITAÇÕES
CÍCERO ALMEIDA,DEPUTADO,PSD,AL,CRIMES DA LEI DE LICITAÇÕES
CÍCERO ALMEIDA,DEPUTADO,PSD,AL,CRIME DE RESPONSABILIDADE
DAGOBERTO,DEPUTADO,PDT,MS,PECULATO
DAGOBERTO,DEPUTADO,PDT,MS,CRIMES CONTRA O SISTEMA FINANCEIRO
DÉCIO LIMA,DEPUTADO,PT,SC,IMPROBIDADE ADMINISTRATIVA
DELEGADO ÉDER MAURO,DEPUTADO,PSD,PA,AMEAÇA
ÉDIO LOPES,DEPUTADO,PMDB,RR,CRIMES ELEITORAIS
EDUARDO CUNHA,DEPUTADO,PMDB,RJ,CORRUPÇÃO PASSIVA
EDUARDO CUNHA,DEPUTADO,PMDB,RJ,LAVAGEM DE DINHEIRO
EZEQUIEL ÂNGELO FONSECA,DEPUTADO,PP,MT,CRIMES DA LEI DE LICITAÇÕES
FAUSTO PINATO,DEPUTADO,PRB,SP,FALSO TESTEMUNHO OU FALSA PERÍCIA
FERNANDO JORDÃO,DEPUTADO,PMDB,RJ,CAPTAÇÃO ILÍCITA DE VOTOS OU CORRUPÇÃO ELEITORAL
FERNANDO TORRES,DEPUTADO,PSD,BA,CRIMES CONTRA A ORDEM ECONÔMICA
FLAVIANO MELO,DEPUTADO,PMDB,AC,PECULATO
FLAVIANO MELO,DEPUTADO,PMDB,AC,CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL
GIOVANI FELTES,DEPUTADO,PMDB,RS,CRIMES DE RESPONSABILIDADE
IZALCI,DEPUTADO,PSDB,DF,CRIMES ELEITORAIS
JOÃO CASTELO,DEPUTADO,PSDB,MA,CRIMES DE RESPONSABILIDADE
JOSÉ STÉDILE,DEPUTADO,PSB,RS,CRIMES CONTRA O SISTEMA FINANCEIRO
JOSUÉ BENGTSON,DEPUTADO,PTB,PA,LAVAGEM DE DINHEIRO
JOSUÉ BENGTSON,DEPUTADO,PTB,PA,PECULATO
JOSUÉ BENGTSON,DEPUTADO,PTB,PA,CORRUPÇÃO ATIVA
JOSUÉ BENGTSON,DEPUTADO,PTB,PA,CORRUPÇÃO PASSIVA
JUNIOR MARRECA,DEPUTADO,PEN,MA,EMPREGO IRREGULAR DE VERBAS PÚBLICAS
LINDOMAR GARÇON,DEPUTADO,PMDB,RO,CRIMES ELEITORAIS
MARCO TEBALDI,DEPUTADO,PSDB,SC,FALSIDADE IDEOLÓGICA
MARCO TEBALDI,DEPUTADO,PSDB,SC,EMPREGO IRREGULAR DE VERBA PÚBLICA
MARCOS REATEGUI,DEPUTADO,PSC,AP,PECULATO
MARCOS REATEGUI,DEPUTADO,PSC,AP,VIOLAÇÃO DO SIGILO FUNCIONAL
MARCOS REATEGUI,DEPUTADO,PSC,AP,CRIMES CONTRA O SISTEMA FINANCEIRO
MARQUINHO MENDES,DEPUTADO,PMDB,RJ,CRIMES ELEITORAIS
MARQUINHO MENDES,DEPUTADO,PMDB,RJ,CRIMES ELEITORAIS
MARX BELTRÃO,DEPUTADO,PMDB,AL,FALSIDADE IDEOLÓGICA
NILSON LEITÃO,DEPUTADO,PSDB,MT,CRIME DE RESPONSABILIDADE
NILTON CAPIXABA,DEPUTADO,PTB,RO,CRIMES DA LEI DE LICITAÇÕES
NILTON CAPIXABA,DEPUTADO,PTB,RO,CORRUPÇÃO PASSIVA
NILTON CAPIXABA,DEPUTADO,PTB,RO,FORMAÇÃO DE QUADRILHA
NILTON CAPIXABA,DEPUTADO,PTB,RO,LAVAGEM DE DINHEIRO
PAULO FEIJÓ,DEPUTADO,PR,RJ,CORRUPÇÃO ATIVA
PAULO FEIJÓ,DEPUTADO,PR,RJ,CORRUPÇÃO PASSIVA
PAULO FEIJÓ,DEPUTADO,PR,RJ,PECULATO
PAULO FEIJÓ,DEPUTADO,PR,RJ,LAVAGEM DE DINHEIRO
PAULO MAGALHÃES,DEPUTADO,PSD,BA,CRIMES ELEITORAIS
PAULO MALUF,DEPUTADO,PP,SP,CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL
PAULO MALUF,DEPUTADO,PP,SP,CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL
PAULO MALUF,DEPUTADO,PP,SP,CRIMES ELEITORAIS
PAULO PEREIRA DA SILVA,DEPUTADO,SD,SP,CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL
PROFESSORA DORINHA SEABRA,DEPUTADO,DEM,TO,PECULATO
PROFESSORA DORINHA SEABRA,DEPUTADO,DEM,TO,CRIMES DA LEI DE LICITAÇÕES
PROFESSORA DORINHA SEABRA,DEPUTADO,DEM,TO,PECULATO
PROFESSORA DORINHA SEABRA,DEPUTADO,DEM,TO,CRIMES DA LEI DE LICITAÇÕES
PROFESSORA DORINHA SEABRA,DEPUTADO,DEM,TO,PECULATO
PROFESSORA DORINHA SEABRA,DEPUTADO,DEM,TO,CRIMES DA LEI DE LICITAÇÕES
ROBERTO GÓES,DEPUTADO,PDT,AP,PECULATO
ROBERTO GÓES,DEPUTADO,PDT,AP,PECULATO
ROBERTO GÓES,DEPUTADO,PDT,AP,CRIMES DE RESPONSABILIDADE
ROBERTO GÓES,DEPUTADO,PDT,AP,AUMENTO DE DESPESA COM PESSOAL NO ÚLTIMO ANO DO MANDATO OU LEGISLATURA
ROBERTO GÓES,DEPUTADO,PDT,AP,CRIMES CONTRA O MEIO AMBIENTE
ROBERTO GÓES,DEPUTADO,PDT,AP,CRIMES DE RESPONSABILIDADE
ROBERTO GÓES,DEPUTADO,PDT,AP,LAVAGEM DE DINHEIRO
ROBERTO GÓES,DEPUTADO,PDT,AP,FORMAÇÃO DE QUADRILHA
ROBERTO GÓES,DEPUTADO,PDT,AP,FALSIFICAÇÃO DE DOCUMENTO PÚBLICO
ROBERTO GÓES,DEPUTADO,PDT,AP,CRIMES DA LEI DE LICITAÇÕES
ROCHA,DEPUTADO,PSDB,AC,INJÚRIA
ROCHA,DEPUTADO,PSDB,AC,MOTIM E REVOLTA
RÔMULO GOUVEIA,DEPUTADO,PSD,PB,CRIMES DA LEI DE LICITAÇÕES
RONALDO LESSA,DEPUTADO,PDT,AL,CALÚNIA
RONALDO LESSA,DEPUTADO,PDT,AL,CRIMES DA LEI DE LICITAÇÕES
RONALDO LESSA,DEPUTADO,PDT,AL,FORMAÇÃO DE QUADRILHA
RONALDO LESSA,DEPUTADO,PDT,AL,PECULATO
SERGIO VIDIGAL,DEPUTADO,PDT,ES,CRIMES CONTRA A FLORA
SERGIO VIDIGAL,DEPUTADO,PDT,ES,USO DE DOCUMENTO FALSO
SERGIO VIDIGAL,DEPUTADO,PDT,ES,FALSIFICAÇÃO DE DOCUMENTO PÚBLICO
SERGIO VIDIGAL,DEPUTADO,PDT,ES,IMPROBIDADE ADMINISTRATIVA
SERGIO VIDIGAL,DEPUTADO,PDT,ES,CRIMES PRATICADOS CONTRA A ADMINISTRAÇÃO PÚBLICA EM GERAL
SUBTENENTE GONZAGA,DEPUTADO,PDT,MG,CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL
TAKAYAMA,DEPUTADO,PSC,PR,PECULATO
TAKAYAMA,DEPUTADO,PSC,PR,ESTELIONATO
TAKAYAMA,DEPUTADO,PSC,PR,CRIMES CONTRA A ORDEM TRIBUTÁRIA
VENEZIANO VITAL DO RÊGO,DEPUTADO,PMDB,PB,CRIMES DA LEI DE LICITAÇÕES
WASHINGTON REIS,DEPUTADO,PMDB,RJ,CRIMES CONTRA O MEIO AMBIENTE
WASHINGTON REIS,DEPUTADO,PMDB,RJ,FORMAÇÃO DE QUADRILHA
WEVERTON ROCHA,DEPUTADO,PDT,MA,CRIMES DA LEI DE LICITAÇÕES
WLADIMIR COSTA,DEPUTADO,SD,PA,INVESTIGAÇÃO PENAL
WLADIMIR COSTA,DEPUTADO,SD,PA,AMEAÇA
