CÉSAR MESSIAS;PSB;AC;Processos nº 0011888-36.2011.4.01.3000 - TRF
CÉSAR MESSIAS;PSB;AC;Ação civil de improbidade administrativa nº 0005420-27.2009.4.01.3000 - TRF1
CÉSAR MESSIAS;PSB;AC;Ação civil de improbidade administrativa nº 0001372-25.2009.4.01.3000 - TRF1
FLAVIANO MELO;PMDB;AC;Ação penal nº 435/2007 - STF
FLAVIANO MELO;PMDB;AC;Ação civil pública nº 0006554-71.2005.8.01.0001 - TJ
MAJOR ROCHA;PSDB;AC;Ação penal nº 954/2015 - STF
MAJOR ROCHA;PSDB;AC;Processos nº 0000722-81.2010.8.01.0001 - TJ
ARTHUR LIRA;PP;AL;Inquérito nº 3515/2012 - STF
ARTHUR LIRA;PP;AL;Inquérito nº 3989/2015 - STF
ARTHUR LIRA;PP;AL;Inquérito nº 3994/2015 - STF
ARTHUR LIRA;PP;AL;Inquérito nº 3980/2015 - STF
ARTHUR LIRA;PP;AL;Inquérito nº 3996/2015 -STF
ARTHUR LIRA;PP;AL;Ação civil pública nº 0042688-60.2011.8.02.0001 - TJ
CICERO ALMEIDA;PRTB;AL;Ação civil pública nº 0094747-30.2008.8.02.0001 - TJ
CICERO ALMEIDA;PRTB;AL;Ação penal nº 956/2015 - STF
CICERO ALMEIDA;PRTB;AL;Inquérito nº 3959/2015 - STF
CICERO ALMEIDA;PRTB;AL;Ação civil pública nº 0719368-66.2013.8.02.0001 - TJ
CICERO ALMEIDA;PRTB;AL;Agravo de instrumento nº 0005051-44.2012.8.02.0000 - TJ
RONALDO LESSA;PDT;AL;Processos nº 0006151-47.2009.4.05.8000 - TRF
RONALDO LESSA;PDT;AL;Ação penal nº 975/2016.Ação civil pública nº 0007045-12.2009.8.02.0001 - TJ
RONALDO LESSA;PDT;AL;Inquérito nº 3987/2015 - STF
RONALDO LESSA;PDT;AL;Ação civil pública nº 0002827-44.2012.4.05.8000 - TRF
RONALDO LESSA;PDT;AL;Ação civil de improbidade administrativa nº 0092269-49.2008.8.02.0001 - TJ
RONALDO LESSA;PDT;AL;Ação civil de improbidade administrativa nº 0017793-35.2011.8.02.0001 - TJ
RONALDO LESSA;PDT;AL;Ação civil de improbidade administrativa nº 0001584-83.2012.8.02.0056 - TJ
MARCOS REATEGUI;PSC;AP;Processos nº 0001445-12.2014.4.01 - STF
MARCOS REATEGUI;PSC;AP;Ação penal nº 914/2015 - STF
MARCOS REATEGUI;PSC;AP;Ação penal nº 945/2015 - STF
MARCOS REATEGUI;PSC;AP;Inquérito nº 4237/2016 - STF
MARCOS REATEGUI;PSC;AP;Ação civil pública nº 0038727-79.2014.8.03.0001 - TJ
ROBERTO GÓES;PDT;AP;Ação penal nº 970/2015 - STF
ROBERTO GÓES;PDT;AP;Ação penal nº 936/2015 - STF
ROBERTO GÓES;PDT;AP;Ação penal nº 928/2015 - STF
ROBERTO GÓES;PDT;AP;Ação penal nº 916/2015 - STF
ROBERTO GÓES;PDT;AP;Ação penal nº 924/2015 - STF
ROBERTO GÓES;PDT;AP;Ação penal nº 986/2016 - STF
ROBERTO GÓES;PDT;AP;Ação penal nº 992/2016 - STF
ROBERTO GÓES;PDT;AP;Inquérito nº 3950/2015 - STF
ROBERTO GÓES;PDT;AP;Inquérito nº 4013/2015 - STF
ROBERTO GÓES;PDT;AP;Inquérito nº 4067/2015 - STF
ROBERTO GÓES;PDT;AP;Inquérito nº 4255/2016 - STF
ROBERTO GÓES;PDT;AP;Ação civil pública nº 0002148-74.2013.4.01.3100 - TRF
ROBERTO GÓES;PDT;AP;Ação civil pública nº 0001734-76.2013.4.01.3100 - TRF
ROBERTO GÓES;PDT;AP;Ação civil pública nº 0029426-16.2011.8.03.0001 - TJ
VINÍCIUS GURGEL;PR;AP;Inquérito nº 3529/2012 - STF
VINÍCIUS GURGEL;PR;AP;Inquérito nº 3697/2013 - STF
VINÍCIUS GURGEL;PR;AP;Inquérito nº 3944/2015 - STF
VINÍCIUS GURGEL;PR;AP;Inquérito nº 3940/2015 - STF
ALFREDO NASCIMENTO;PR;AM;Ação penal nº 960/2015 - STF
ALFREDO NASCIMENTO;PR;AM;Inquérito nº 3694/2015 - STF
ALFREDO NASCIMENTO;PR;AM;Inquérito nº 3700/2013 - STF
ALFREDO NASCIMENTO;PR;AM;Ação civil pública nº 0208665-55.2008.8.04.0001 - TJ
ALFREDO NASCIMENTO;PR;AM;Ação civil pública nº 0369355-92.2007.8.04.0001 - TJ
ALFREDO NASCIMENTO;PR;AM;Ação popular nº 5540/2001 - TJ
ALFREDO NASCIMENTO;PR;AM;Ação popular nº 0045967-98.2010.8.04.0012 - TJ
ALFREDO NASCIMENTO;PR;AM;Inquérito nº 4443/2017 - STF
ATILA LINS;PSD;AM;Ação civil pública nº 0012114-89.1996.8.04.0012 - TJ
CONCEIÇÃO SAMPAIO;PP;AM;Ação civil de improbidade administrativa nº 0636323-76.2014.8.04.0001 - TJ
HISSA ABRAHÃO;PPS;AM;Ação civil pública nº 0222154-91.2010.8.04.0001 - TJ
MARCOS ROTTA;PMDB;AM;Ação civil pública nº 0636323-76.2014.8.04.0001 - TJ
SILAS CAMARA;PSD;AM;Ação penal nº 579/2011 - STF
SILAS CAMARA;PSD;AM;Ação civil de improbidade administrativa nº 0002397-34.2013.4.01.3000 - TRF
ANTONIO BRITO;PTB;BA;Inquérito nº 4.455/2017 - STF
