NOME,PARTIDO,CARGO,ESTADO,CRIME
Gladson Cameli,PP,Senador,AC,Inquérito nº 3989/2015 - STF
Gladson Cameli,PP,Senador,AC,Inquérito nº 3533/2012 - STF
Jorge Viana,PT,Senador,AC,Inquérito nº 4393/2017 - STJ
Sérgio Petecão,PSD,Senador,AC,Ação penal nº 880/2014 - STF
Sérgio Petecão,PSD,Senador,AC,Ação penal nº 542/2010 - STF
Sérgio Petecão,PSD,Senador,AC,nquérito nº 3851/2014 - STF
Sérgio Petecão,PSD,Senador,AC,Inquérito nº 3598/2013 - STF
Benedito de Lira,PP,Senador,AL,Inquérito nº 3989/2015 - STF
Benedito de Lira,PP,Senador,AL,Inquérito nº 3994/2015 - STF
Benedito de Lira,PP,Senador,AL,Inquérito nº 3996/2015 - STF
Fernando Collor,PTC,Senador,AL,Inquérito nº 3883/2014 - STF
Fernando Collor,PTC,Senador,AL,Inquérito nº 4427/2017 - STF
Fernando Collor,PTC,Senador,AL,Inquérito nº 4250/2016 - STF
Fernando Collor,PTC,Senador,AL,Medida cautelar nº 86520.2000.600.0000 - TSE
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 4213/2016 - STF
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 4216/2016 - STF
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 4215/2016 - STF
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 3989/2015 - STF
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 3984/2015 - STF
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 3993/2015 - STF
Renan Calheiros,PMDB,Senador,AL,Ação civil pública nº 0060664-26.2014.4.01.3400 - TRF
Renan Calheiros,PMDB,Senador,AL,Petição nº 5617/2015 - STF
Renan Calheiros,PMDB,Senador,AL,Apelação cível nº 0000163-34.2012.4.05.8002 - TRF5
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 2593/2007 - STJ
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 4389/2017 - STF
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 4426/2017 - STJ
Renan Calheiros,PMDB,Senador,AL,Inquérito nº 4437/2017 - STF
